case_identifier,pp_primary16_2016,pp_demprim16_2016,pp_repprim16_2016,inputstate_2016,izip_2016,birthyr_baseline,gender_baseline,race_baseline,race_other_baseline,educ_baseline,child18_baseline,child18num_baseline,job_baseline,employstat2_baseline,industry_baseline,occupationcat_baseline,presvote16post_2016
36509435,2,,1,34,8550,1943,2,1,__NA__,2,2,,,2,81,6,2
36509822,3,,,16,83815,1959,2,1,,2,1,2,,3,23,5,2
36510659,1,1,,17,60652,1976,2,2,,6,1,1,,2,61,1,1
36510896,1,1,,6,92130,1960,1,1,,3,2,,,1,62,3,1
36511094,1,1,,36,10805,1942,2,2,,5,2,,,5,,8,1
36511247,3,,,53,98367,1977,2,3,,3,2,,,7,,9,3
36511988,3,,,48,75249,1961,1,6,,1,1,1,,1,81,1,
36512447,3,,,32,89031,1962,2,6,,3,2,,,1,81,6,1
36513401,3,,,24,21108,1962,2,1,,6,1,2,,1,71,6,1
36514490,1,2,,1,35130,1961,2,1,,4,2,,3,,,10,1
36515141,1,1,,42,15325,1951,1,1,,2,2,,,5,,8,1
36515342,3,,,8,80465,1954,1,1,,2,2,,,1,44,12,1
36516215,3,,,48,75771,1939,2,1,,2,2,,,5,,8,2
36516614,2,,5,1,36109,1977,1,1,,6,1,1,,1,31,1,3
36517064,2,,1,39,44077,1964,1,1,,6,2,,,1,61,1,3
36520529,3,,,34,7882,1960,2,1,,2,1,2,,6,,12,
36520694,3,,,34,7439,1934,2,1,,2,2,,,7,,9,2
36521963,3,,,21,42633,1957,1,1,,2,2,,,6,,8,2
36522698,2,,4,12,34689,1937,2,1,,2,2,,,5,,8,1
36524096,1,1,,54,25984,1945,1,1,,5,2,,,5,,8,1
36524324,1,1,,48,76017,1957,2,2,,3,2,,3,,,3,1
36524771,3,,,36,11209,1949,2,1,,2,2,,,2,54,6,1
36525020,2,,1,17,60641,1956,2,1,,2,2,,,7,,9,2
36525242,3,,,12,34609,1962,2,1,,2,1,1,,1,48,12,1
36525287,3,,,12,34488,1963,2,1,,2,2,,,6,,11,3
36526067,3,,,32,89120,1948,2,1,,2,2,,,2,44,12,1
36527117,1,2,,2,99801,1970,2,1,,5,2,,,1,92,1,1
36527471,1,2,,54,26554,1965,2,1,,3,2,,3,,,10,1
36528137,1,2,,39,43766,1948,2,1,,2,2,,,7,,9,1
36528470,1,1,,11,20019,1958,1,2,,2,2,,,1,92,12,
36529028,2,,1,29,63841,1945,2,1,,2,2,,,5,,8,2
36531422,1,2,,35,87701,1966,1,3,,3,1,3,,1,92,1,1
36531698,1,1,,53,98168,1971,2,1,,4,1,1,,7,,9,1
36531986,2,,3,20,66048,1941,2,1,,2,2,,,5,,8,2
36532424,1,1,,39,44647,1953,1,1,,2,2,,,6,,8,1
36533810,1,2,,53,98387,1957,2,1,,2,2,,,6,,11,1
36534404,3,,,55,53143,1949,2,1,,2,2,,,5,,8,
36534569,2,,5,38,58554,1945,2,1,,2,2,,,5,,8,1
36535088,1,1,,37,28348,1960,1,2,,3,1,2,,1,92,1,1
36536438,2,,4,27,56336,1955,1,1,,3,2,,,5,,8,2
36537107,2,,5,37,28127,1956,1,1,,2,1,1,1,,,12,2
36537146,2,,1,25,1033,1960,2,1,,2,1,1,,1,31,6,2
36537998,3,,,42,15501,1959,1,1,,2,1,1,,6,,12,
36538037,1,1,,6,94061,1936,2,1,,2,2,,,5,,8,1
36538079,1,1,,4,85298,1963,2,3,,5,1,,,4,,11,
36539378,2,,1,6,92595,1958,2,1,,2,1,1,,7,,9,2
36541895,2,,1,48,76135,1961,2,1,,3,2,,,4,,1,2
36544454,3,,,51,22401,1968,2,1,,5,1,1,,7,,9,1
36546278,1,1,,47,37411,1957,1,2,,4,2,,,1,23,12,1
