case_identifier,inputstate_2016,izip_2016,birthyr_baseline,gender_baseline,race_baseline,educ_baseline,presvote16post_2016
6433022,6,94706,1954,2,3,6,1
6435506,30,59711,1957,1,1,5,2
6439925,55,54915,1970,1,6,3,2
6440513,41,97007,1934,1,1,3,1
6442295,39,44824,1937,2,1,2,1
6442748,47,37215,1952,1,1,6,2
6443261,36,13027,1966,1,1,3,2
6444770,18,46504,1973,1,1,4,2
6444905,36,14468,1962,1,1,3,2
6447599,12,32714,1971,2,1,5,2
6453008,27,55347,1969,1,3,5,1
6456005,29,64057,1961,1,1,6,2
6460793,17,60060,1939,1,1,2,3
6462023,36,14075,1938,1,1,2,2
6464678,48,78251,1974,2,1,4,2
6466028,22,70115,1958,1,1,6,2
6467498,55,53149,1962,1,1,3,2
6469808,51,22192,1978,1,1,6,2
6474713,51,20110,1941,2,1,3,1
6476231,4,85383,1962,2,1,5,3
6476726,12,32934,1965,1,3,4,2
6478346,38,58784,1963,1,1,2,2
6483362,48,76112,1960,1,2,5,1
6484904,42,15627,1939,1,1,2,2
6485570,26,49428,1947,1,1,3,2
6486587,54,25177,1983,2,1,3,1
6488348,36,11705,1955,1,3,6,2
6488591,17,60626,1974,2,1,6,1
6489881,34,7090,1965,1,1,5,2
6492236,53,98513,1949,2,3,5,2
6493475,13,30269,1955,1,1,2,2
6493781,42,19551,1959,2,1,2,3
6497096,4,86409,1947,1,1,5,2
6497288,28,38672,1969,1,1,6,2
6501659,6,95020,1954,1,1,5,4
6503879,17,60510,1968,1,1,6,2
6505772,25,2109,1956,1,1,6,2
6505883,53,98310,1957,1,1,5,2
6507935,12,32164,1953,1,1,2,2
6510563,48,75050,1949,1,1,6,2
6511742,48,78634,1967,1,1,5,2
6511793,12,32789,1950,1,1,5,1
6512660,6,94521,1948,2,1,5,1
6513770,39,44515,1963,1,1,4,1
6517199,37,27604,1971,1,4,6,1
6518696,29,63020,1942,1,1,3,2
6520697,37,28704,1976,1,1,5,1
6520724,29,64801,1963,1,1,5,2
6521126,26,48169,1964,1,1,4,2
6525953,53,98019,1955,2,1,3,1
6526178,53,98296,1945,1,1,2,2
6528290,47,38133,1932,2,1,3,2
6528377,8,80016,1971,1,1,5,1
6530339,28,38663,1953,1,1,3,6
6531266,17,61704,1955,2,1,6,1
6532187,26,48188,1954,2,1,6,2
6532658,12,32256,1968,2,1,5,1
6532769,36,14068,1956,1,1,5,2
6533945,39,45373,1971,1,1,5,2
6536294,36,11733,1967,1,1,2,2
6536567,48,78737,1969,1,1,6,1
6537491,24,21701,1986,1,1,5,6
6540710,13,30024,1964,1,1,6,2
6541916,12,33852,1974,1,1,6,2
6547295,6,91355,1973,1,1,5,1
6549413,41,97071,1946,1,1,6,1
6555185,37,28104,1959,2,5,4,2
6555551,47,37167,1958,2,1,6,6
6559001,42,19380,1946,2,7,6,1
6559061,30,59860,1961,1,1,3,1
6559694,47,37618,1954,1,1,5,2
6560996,6,92683,1960,2,3,5,2
6561803,42,17543,1959,2,1,2,2
